Time,Adj Closed Price (GOOG),Adj Closed Price (LMT)
1/1/2017,796.789978,217.490036
4/1/2017,905.960022,234.776657
7/1/2017,930.5,256.181854
10/1/2017,1016.640015,271.84491
1/1/2018,1169.939941,314.996796
4/1/2018,1017.330017,286.405762
7/1/2018,1217.26001,292.926086
10/1/2018,1076.77002,265.607361
1/1/2019,1116.369995,263.765961
4/1/2019,1188.47998,305.687134
7/1/2019,1216.680054,334.286102
10/1/2019,1260.109985,349.680084
1/1/2020,1434.22998,399.867188
4/1/2020,1348.660034,365.666687
7/1/2020,1482.959961,358.341888
10/1/2020,1621.01001,333.09256
1/1/2021,1835.73999,308.301422
4/1/2021,2410.120117,367.369385
7/1/2021,2704.419922,361.211823
10/1/2021,2965.409912,325.305176
